Year,World,Japan,United States,"Hong Kong SAR, China",China
2023,13138.328,33834.392,81695.187,50696.590,12614.061
2022,12730.157,34017.272,77246.674,48828.121,12662.583
2021,12362.464,40058.537,71055.876,49770.564,12617.505
2020,10941.663,40040.766,64317.399,46109.230,10408.720
2019,11358.479,40415.957,65548.071,48359.001,10143.860
2018,11315.084,39751.133,63201.046,48537.567,9905.406
2017,10762.805,38834.053,60322.261,46160.430,8817.046
2016,10224.066,39375.473,58206.614,43734.198,8094.390
2015,10177.891,34960.639,57040.208,42432.162,8016.446
2014,10918.554,38475.395,55304.316,40315.374,7636.074
2013,10754.798,40898.648,53409.751,38403.778,7020.386
2012,10586.671,49145.280,51784.411,36730.796,6300.582
2011,10484.535,48760.079,50065.979,35142.488,5614.386
2010,9543.067,44968.156,48650.664,32550.136,4550.474
2009,8818.140,41308.997,47194.950,30697.538,3832.227
2008,9420.427,39876.304,48570.059,31515.529,3468.327
2007,8680.929,35779.025,48050.227,30593.951,2693.959
2006,7799.328,35991.546,46301.988,28224.095,2099.219
2005,7288.551,37812.895,44123.400,26649.638,1753.414
2004,6817.496,38298.980,41724.641,24928.100,1508.668
2003,6127.486,35387.037,39490.302,23977.173,1288.637
2002,5535.213,32820.794,37997.742,24665.836,1148.514
2001,5400.631,34406.182,37133.620,25230.378,1053.112
2000,5507.314,39169.360,36329.970,25756.773,959.360
1999,5399.003,36610.168,34515.381,25091.667,873.292
1998,5300.641,32423.756,32853.673,25808.861,828.595
1997,5385.237,35638.232,31459.130,27330.093,781.743
1996,5481.653,39150.040,29967.713,24818.302,709.416
1995,5437.652,44197.619,28690.876,23497.392,609.604
1994,4951.803,39933.515,27694.853,22502.530,473.490
1993,4671.706,36345.244,26387.294,20395.562,377.390
1992,4655.713,31992.790,25418.991,17976.469,366.461
1991,4425.997,29428.429,24342.259,15465.925,333.142
1990,4311.442,25801.395,23888.600,13485.631,317.885
1989,3906.471,25265.949,22857.154,12097.749,310.882
1988,3822.734,25499.881,21417.012,10609.746,283.538
1987,3480.032,21141.718,20038.941,9071.391,251.812
1986,3110.074,17451.835,19071.227,7434.999,281.928
1985,2685.258,11809.460,18236.828,6542.974,294.459
1984,2611.006,11207.452,17121.225,6208.226,250.714
1983,2555.452,10652.015,15543.894,5595.261,225.432
1982,2530.660,9779.975,14433.788,6133.767,203.335
1981,2609.268,10583.128,13976.105,5991.285,197.071
1980,2570.485,9668.746,12574.792,5700.432,194.805
1979,2316.511,9301.148,11674.182,4569.484,183.983
1978,2028.239,9012.136,10564.948,3923.971,156.396
1977,1745.019,6472.788,9452.577,3429.420,185.421
1976,1570.858,5310.431,8592.254,2850.015,165.404
1975,1471.888,4775.900,7801.457,2252.127,178.340
1974,1341.101,4448.320,7225.691,2144.615,160.148
1973,1189.397,4061.013,6726.359,1893.181,157.089
1972,997.150,3031.439,6094.018,1384.734,131.886
1971,880.070,2321.391,5609.383,1106.470,118.654
1970,813.380,2100.748,5234.297,960.032,113.163
1969,756.802,1802.980,5019.998,825.523,100.130
1968,700.249,1553.271,4684.588,714.483,91.472
1967,661.364,1326.361,4325.959,723.239,96.589
1966,633.995,1143.608,4136.308,685.927,104.324
1965,597.985,993.733,3818.288,676.806,98.486
1964,560.588,902.868,3565.314,629.592,85.498
1963,521.369,775.592,3366.370,565.728,74.313
1962,493.411,684.566,3236.013,487.821,70.909
1961,468.457,608.865,3059.161,436.754,75.806
1960,450.106,508.703,2999.865,424.057,89.520
